;Booster;CNN;ESN;LSTM;RF;SVR;XGB;Single Exponential Smoothing ;Double Exponential Smoothing;Triple Exponential Smoothing Additive;Triple Exponential Smoothing Multiplicative;ARIMA
MAE;1990,8669154738097;5083,75;3829,25;2264,5;3211,3333333333335;3247,4166666666665;3760,75;3207,777988323756;4190,560074732032;5415,740502929677;4534,491345127507;3322,1666666666665
sMAPE;13,9;39,03;25,57;15,35;21,83;22,12;24,45;21,82;30,1;43,31;33,84;22,65
