#;Reservoirs;Sparsity;Spectral Radius;Noise;Fitness;Base Seed
0;485;0,3684103359174762;1,6612409914342547;0,17424923431361486;1780;3000
1;485;0,3684103359174762;1,6612409914342547;0,17424923431361486;1780;3000
2;294;0,442105105939109;0,26693005489280275;0,32985805058830336;1501;3000
3;294;0,442105105939109;0,26693005489280275;0,32985805058830336;1501;3000
4;294;0,442105105939109;0,26693005489280275;0,32985805058830336;1501;3000
5;294;0,442105105939109;0,26693005489280275;0,32985805058830336;1501;3000
6;294;0,442105105939109;0,26693005489280275;0,32985805058830336;1501;3000
7;294;0,442105105939109;0,26693005489280275;0,32985805058830336;1501;3000
8;294;0,442105105939109;0,26693005489280275;0,32985805058830336;1501;3000
9;294;0,442105105939109;0,26693005489280275;0,32985805058830336;1501;3000
10;294;0,442105105939109;0,26693005489280275;0,32985805058830336;1501;3000
