;#;Units;Epochs;Batch Size;Activation;Bias;Fitness;Base Seed
0;0;222;57;50;linear;True;2563;1000
1;1;222;57;50;linear;True;2563;1000
2;2;222;57;50;linear;True;2563;1000
3;3;222;57;50;linear;True;2563;1000
4;4;222;57;50;linear;True;2563;1000
5;5;168;56;247;;True;2189;1000
6;6;168;56;247;;True;2189;1000
7;7;168;56;247;;True;2189;1000
8;8;168;56;247;;True;2189;1000
9;9;168;56;247;;True;2189;1000
10;10;168;56;247;;True;2189;1000
11;11;168;56;247;;True;2189;1000
12;12;168;56;247;;True;2189;1000
13;13;168;56;247;;True;2189;1000
14;14;168;56;247;;True;2189;1000
15;15;168;56;247;;True;2189;1000
16;16;168;56;247;;True;2189;1000
17;17;168;56;247;;True;2189;1000
18;18;168;56;247;;True;2189;1000
19;19;168;56;247;;True;2189;1000
20;20;168;56;247;;True;2189;1000
21;21;168;56;247;;True;2189;1000
22;22;168;56;247;;True;2189;1000
23;23;168;56;247;;True;2189;1000
24;24;168;56;247;;True;2189;1000
