;#;Units;Epochs;Batch Size;Activation;Bias;Fitness;Base Seed
0;0;34;65;15;mish;False;2996;2000
1;1;34;65;15;mish;False;2996;2000
2;2;34;65;15;mish;False;2996;2000
3;3;34;65;15;mish;False;2996;2000
4;4;214;93;167;;True;2475;2000
5;5;214;93;167;;True;2475;2000
6;6;288;98;225;linear;False;2282;2000
7;7;288;98;225;linear;False;2282;2000
8;8;288;98;225;linear;False;2282;2000
9;9;288;98;225;linear;False;2282;2000
10;10;288;98;225;linear;False;2282;2000
11;11;288;98;225;linear;False;2282;2000
12;12;288;98;225;linear;False;2282;2000
13;13;288;98;225;linear;False;2282;2000
14;14;288;98;225;linear;False;2282;2000
15;15;288;98;225;linear;False;2282;2000
16;16;288;98;225;linear;False;2282;2000
17;17;288;98;225;linear;False;2282;2000
18;18;288;98;225;linear;False;2282;2000
19;19;288;98;225;linear;False;2282;2000
20;20;288;98;225;linear;False;2282;2000
21;21;288;98;225;linear;False;2282;2000
22;22;288;98;225;linear;False;2282;2000
23;23;288;98;225;linear;False;2282;2000
24;24;288;98;225;linear;False;2282;2000
