#;Reservoirs;Sparsity;Spectral Radius;Noise;Fitness;Base Seed
0;209;0,3723927636927318;0,7596613616480934;0,6385702092014658;1588;1000
1;209;0,12186336261898507;0,7596613616480934;0,5699405930853415;1523;1000
2;209;0,12186336261898507;0,7596613616480934;0,5699405930853415;1523;1000
3;209;0,12186336261898507;0,7596613616480934;0,5699405930853415;1523;1000
4;209;0,12186336261898507;0,7596613616480934;0,5699405930853415;1523;1000
5;209;0,12186336261898507;0,7596613616480934;0,5699405930853415;1523;1000
6;209;0,12186336261898507;0,7596613616480934;0,5699405930853415;1523;1000
7;386;0,3924215874137683;0,5399904191376359;0,05934043211787465;1417;1000
8;386;0,3924215874137683;0,5399904191376359;0,05934043211787465;1417;1000
9;386;0,3045366176230606;0,5399904191376359;0,05934043211787465;1404;1000
10;386;0,3045366176230606;0,5399904191376359;0,05934043211787465;1404;1000
