#;Filters;Kernel_Size;Pool;Dense;Epochs;Fitness;Activation;Base Seed
0;85;35;28;114;0;6288;;1000
1;218;11;6;375;66;4192;;1000
2;218;11;6;375;66;4192;;1000
3;218;11;6;375;66;4192;;1000
4;218;11;6;375;66;4192;;1000
5;251;30;24;365;81;4170;;1000
6;414;21;6;375;66;4130;;1000
7;414;21;6;375;66;4130;;1000
8;414;21;6;375;66;4130;;1000
9;414;21;6;375;66;4130;;1000
10;414;21;6;375;66;4130;;1000
