#;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness;Base Seed
0;236;165;16;12;3646;3000
1;236;165;16;12;3646;3000
2;236;165;16;12;3646;3000
3;236;165;16;12;3646;3000
4;236;165;16;12;3646;3000
5;236;165;16;12;3646;3000
6;123;165;34;13;3636;3000
7;123;165;34;13;3636;3000
8;216;52;8;10;3560;3000
9;216;52;8;10;3560;3000
10;216;52;8;10;3560;3000
11;216;52;8;10;3560;3000
12;216;52;8;10;3560;3000
13;123;34;8;12;3538;3000
14;123;34;8;12;3538;3000
15;123;34;8;12;3538;3000
16;297;34;8;12;3530;3000
17;297;34;8;12;3530;3000
18;297;34;8;12;3530;3000
19;297;34;8;12;3530;3000
20;297;34;8;12;3530;3000
21;297;34;8;12;3530;3000
22;297;34;8;12;3530;3000
23;297;34;8;12;3530;3000
24;297;34;8;12;3530;3000
