;#;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness;Particle Time start;Particle Time end;Particle Time Elapsed;Base Seed
0;0;101;146;8;12;3627;1721631279,651321;1721631367,270015;87,61869406700134;3000
1;1;101;146;8;12;3627;1721631279,651321;1721631367,270015;87,61869406700134;3000
2;2;101;146;8;12;3627;1721631279,651321;1721631367,270015;87,61869406700134;3000
3;3;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
4;4;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
5;5;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
6;6;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
7;7;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
8;8;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
9;9;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
10;10;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
11;11;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
12;12;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
13;13;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
14;14;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
15;15;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
16;16;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
17;17;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
18;18;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
19;19;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
20;20;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
21;21;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
22;22;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
23;23;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
24;24;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
25;25;94;124;13;13;3472;1721631531,9762335;1721631586,6785066;54,70227313041687;3000
26;26;119;131;13;13;3461;1721633030,687926;1721633091,8137455;61,12581968307495;3000
27;27;119;131;13;13;3461;1721633030,687926;1721633091,8137455;61,12581968307495;3000
28;28;119;131;13;13;3461;1721633030,687926;1721633091,8137455;61,12581968307495;3000
29;29;119;131;13;13;3461;1721633030,687926;1721633091,8137455;61,12581968307495;3000
30;30;119;131;13;13;3461;1721633030,687926;1721633091,8137455;61,12581968307495;3000
31;31;119;131;13;13;3461;1721633030,687926;1721633091,8137455;61,12581968307495;3000
32;32;119;131;13;13;3461;1721633030,687926;1721633091,8137455;61,12581968307495;3000
33;33;119;131;13;13;3461;1721633030,687926;1721633091,8137455;61,12581968307495;3000
