;#;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness;Base Seed
0;0;30;171;gbtree;42,80564683;49,13634294;3378;3000
1;1;30;171;gbtree;42,80564683;49,13634294;3378;3000
2;2;26;226;dart;40,98615758;32,2320782;3243;3000
3;3;26;226;dart;40,98615758;32,2320782;3243;3000
4;4;26;226;dart;40,98615758;32,2320782;3243;3000
5;5;26;226;dart;40,98615758;32,2320782;3243;3000
6;6;21;226;dart;40,98615758;32,2320782;3236;3000
7;7;21;226;dart;40,98615758;32,2320782;3236;3000
8;8;21;226;dart;40,98615758;32,2320782;3236;3000
9;9;21;226;dart;40,98615758;32,2320782;3236;3000
10;10;21;226;dart;40,98615758;32,2320782;3236;3000
11;11;21;226;dart;40,98615758;32,2320782;3236;3000
12;12;21;226;dart;40,98615758;32,2320782;3236;3000
13;13;26;136;dart;40,98615758;7,794499441;3215;3000
14;14;26;136;dart;40,98615758;7,794499441;3215;3000
15;15;26;136;dart;40,98615758;7,794499441;3215;3000
16;16;26;136;dart;40,98615758;7,794499441;3215;3000
17;17;26;136;dart;40,98615758;7,794499441;3215;3000
18;18;26;136;dart;40,98615758;7,794499441;3215;3000
19;19;268;166;dart;0,249866836;75,8398207;2816;3000
20;20;268;166;dart;0,249866836;75,8398207;2816;3000
21;21;89;107;gbtree;0,680083552;5,215720734;2814;3000
22;22;89;107;gbtree;0,680083552;5,215720734;2814;3000
23;23;89;107;gbtree;0,680083552;5,215720734;2814;3000
24;24;89;107;gbtree;0,680083552;5,215720734;2814;3000
