;#;Units;Epochs;Batch Size;Activation;Bias;Fitness;Base Seed
0;0;222;65;152;mish;True;3079;2000
1;1;222;65;152;mish;True;3079;2000
2;2;114;50;107;;True;2811;2000
3;3;114;50;107;;True;2811;2000
4;4;114;50;107;;True;2811;2000
5;5;114;50;107;;True;2811;2000
6;6;114;50;107;;True;2811;2000
7;7;114;50;107;;True;2811;2000
8;8;114;50;107;;True;2811;2000
9;9;114;50;107;;True;2811;2000
10;10;194;48;177;mish;False;2560;2000
11;11;194;48;177;mish;False;2560;2000
12;12;194;48;177;mish;False;2560;2000
13;13;226;57;162;linear;True;2531;2000
14;14;226;57;162;linear;True;2531;2000
15;15;226;57;162;linear;True;2531;2000
16;16;226;57;162;linear;True;2531;2000
17;17;226;57;162;linear;True;2531;2000
18;18;226;57;162;linear;True;2531;2000
19;19;226;57;162;linear;True;2531;2000
20;20;226;57;162;linear;True;2531;2000
21;21;124;52;143;;False;2343;2000
22;22;124;52;143;;False;2343;2000
23;23;124;52;143;;False;2343;2000
24;24;124;52;143;;False;2343;2000
