#;C;Epsilon;Kernel;Fitness;Base Seed
0;1093,16814;0,450329408;sigmoid;3932;1000
1;1093,16814;0,450329408;sigmoid;3932;1000
2;1093,16814;0,450329408;sigmoid;3932;1000
3;1093,16814;0,450329408;sigmoid;3932;1000
4;1528,697205;0,655220928;sigmoid;3875;1000
5;1528,697205;0,655220928;sigmoid;3875;1000
6;1528,697205;0,655220928;sigmoid;3875;1000
7;1528,697205;0,655220928;sigmoid;3875;1000
8;1528,697205;0,655220928;sigmoid;3875;1000
9;1528,697205;0,655220928;sigmoid;3875;1000
10;1528,697205;0,655220928;sigmoid;3875;1000
11;1528,697205;0,655220928;sigmoid;3875;1000
12;1528,697205;0,655220928;sigmoid;3875;1000
13;1528,697205;0,655220928;sigmoid;3875;1000
14;1528,697205;0,655220928;sigmoid;3875;1000
15;1528,697205;0,655220928;sigmoid;3875;1000
16;1528,697205;0,655220928;sigmoid;3875;1000
17;1528,697205;0,655220928;sigmoid;3875;1000
18;1528,697205;0,655220928;sigmoid;3875;1000
19;1528,697205;0,655220928;sigmoid;3875;1000
20;1528,697205;0,655220928;sigmoid;3875;1000
21;1528,697205;0,655220928;sigmoid;3875;1000
22;1528,697205;0,655220928;sigmoid;3875;1000
23;1528,697205;0,655220928;sigmoid;3875;1000
24;1528,697205;0,655220928;sigmoid;3875;1000
