;#;Units;Epochs;Batch Size;Activation;Bias;Fitness;Base Seed
0;0;121;44;56;softplus;True;2981;1000
1;1;206;89;145;softplus;False;2942;1000
2;2;116;31;36;;True;2525;1000
3;3;116;31;36;;True;2525;1000
4;4;116;31;36;;True;2525;1000
5;5;116;31;36;;True;2525;1000
6;6;116;31;36;;True;2525;1000
7;7;116;31;36;;True;2525;1000
8;8;116;31;36;;True;2525;1000
9;9;116;31;36;;True;2525;1000
10;10;116;31;36;;True;2525;1000
11;11;115;98;117;;True;2068;1000
12;12;115;98;117;;True;2068;1000
13;13;115;98;117;;True;2068;1000
14;14;115;98;117;;True;2068;1000
15;15;115;98;117;;True;2068;1000
16;16;115;98;117;;True;2068;1000
17;17;115;98;117;;True;2068;1000
18;18;115;98;117;;True;2068;1000
19;19;115;98;117;;True;2068;1000
20;20;115;98;117;;True;2068;1000
21;21;115;98;117;;True;2068;1000
22;22;115;98;117;;True;2068;1000
23;23;115;98;117;;True;2068;1000
24;24;115;98;117;;True;2068;1000
