date;consumption;covid;LAG_01;LAG_02;LAG_03;LAG_06;LAG_12;maxtemp_mean_abs;mintemp_abs;windmaxvel_abs;month_MAR;year_2019
2018-09-30;2079,0;0,0;2700,0;1863,0;2264,0;3361,0;2187,0;33,4;7,3;8,9;0,0;0,0
2018-10-31;2283,0;0,0;2079,0;2700,0;1863,0;2721,0;2028,0;32,0;9,0;7,5;0,0;0,0
2018-11-30;2349,0;0,0;2283,0;2079,0;2700,0;2334,0;2035,0;34,3;13,9;7,6;0,0;0,0
2018-12-31;2416,0;0,0;2349,0;2283,0;2079,0;2264,0;2281,0;35,6;9,8;10,1;0,0;0,0
2019-01-31;2235,0;0,0;2416,0;2349,0;2283,0;1863,0;1452,0;36,0;17,9;8,9;0,0;1,0
2019-02-28;2611,0;0,0;2235,0;2416,0;2349,0;2700,0;2110,0;35,7;14,1;7,6;0,0;1,0
2019-03-31;2328,0;0,0;2611,0;2235,0;2416,0;2079,0;3361,0;33,5;13,7;8,3;1,0;1,0
2019-04-30;2482,0;0,0;2328,0;2611,0;2235,0;2283,0;2721,0;32,2;11,5;6,9;0,0;1,0
2019-05-31;2464,0;0,0;2482,0;2328,0;2611,0;2349,0;2334,0;32,1;9,2;8,7;0,0;1,0
2019-06-30;2153,0;0,0;2464,0;2482,0;2328,0;2416,0;2264,0;29,4;7,0;7,6;0,0;1,0
2019-07-31;1929,0;0,0;2153,0;2464,0;2482,0;2235,0;1863,0;29,1;-3,2;6,7;0,0;1,0
2019-08-31;2139,0;0,0;1929,0;2153,0;2464,0;2611,0;2700,0;31,1;-0,7;7,8;0,0;1,0
2019-09-30;2097,0;0,0;2139,0;1929,0;2153,0;2328,0;2079,0;34,7;7,7;9,4;0,0;1,0
2019-10-31;2486,0;0,0;2097,0;2139,0;1929,0;2482,0;2283,0;35,5;11,0;12,3;0,0;1,0
2019-11-30;2464,0;0,0;2486,0;2097,0;2139,0;2464,0;2349,0;32,8;13,7;7,4;0,0;1,0
2019-12-31;1726,0;0,0;2464,0;2486,0;2097,0;2153,0;2416,0;34,2;11,0;9,1;0,0;1,0
2020-01-31;1811,0;0,0;1726,0;2464,0;2486,0;1929,0;2235,0;33,6;14,7;8,8;0,0;0,0
2020-02-29;2793,0;0,0;1811,0;1726,0;2464,0;2139,0;2611,0;35,2;11,6;7,7;0,0;0,0
2020-03-31;2528,0;0,29032257;2793,0;1811,0;1726,0;2097,0;2328,0;34,4;13,2;6,9;1,0;0,0
2020-04-30;1087,0;1,0;2528,0;2793,0;1811,0;2486,0;2482,0;31,4;4,2;6,8;0,0;0,0
2020-05-31;1599,0;1,0;1087,0;2528,0;2793,0;2464,0;2464,0;28,2;3,0;6,8;0,0;0,0
2020-06-30;1848,0;1,0;1599,0;1087,0;2528,0;1726,0;2153,0;27,3;6,2;10,3;0,0;0,0
2020-07-31;2037,0;1,0;1848,0;1599,0;1087,0;1811,0;1929,0;27,4;1,9;7,5;0,0;0,0
2020-08-31;1829,0;1,0;2037,0;1848,0;1599,0;2793,0;2139,0;30,6;0,7;7,1;0,0;0,0
2020-09-30;1933,0;1,0;1829,0;2037,0;1848,0;2528,0;2097,0;35,7;10,3;7,2;0,0;0,0
2020-10-31;2148,0;1,0;1933,0;1829,0;2037,0;1087,0;2486,0;37,1;9,5;6,4;0,0;0,0
2020-11-30;1892,0;1,0;2148,0;1933,0;1829,0;1599,0;2464,0;35,7;9,0;9,9;0,0;0,0
2020-12-31;2382,0;1,0;1892,0;2148,0;1933,0;1848,0;1726,0;32,2;14,6;9,3;0,0;0,0
2021-01-31;1918,0;1,0;2382,0;1892,0;2148,0;2037,0;1811,0;32,0;15,8;6,7;0,0;0,0
2021-02-28;1234,0;1,0;1918,0;2382,0;1892,0;1829,0;2793,0;33,2;11,9;7,5;0,0;0,0
2021-03-31;1370,0;1,0;1234,0;1918,0;2382,0;1933,0;2528,0;33,2;14,8;5,4;1,0;0,0
