date;consumption;covid;LAG_01;LAG_02;LAG_03;LAG_06;LAG_12;maxtemp_mean_abs;mintemp_abs;windmaxvel_abs;month_MAR;year_2019
2021-04-30;1287,0;1,0;1370,0;1234,0;1918,0;2148,0;1087,0;30,4;8,2;5,6;0,0;0,0
2021-05-31;1211,0;1,0;1287,0;1370,0;1234,0;1892,0;1599,0;29,9;3,4;9,2;0,0;0,0
2021-06-30;1432,0;1,0;1211,0;1287,0;1370,0;2382,0;1848,0;24,2;4,1;5,1;0,0;0,0
2021-07-31;2057,0;1,0;1432,0;1211,0;1287,0;1918,0;2037,0;29,2;-2,6;7,5;0,0;0,0
2021-08-31;2057,0;1,0;2057,0;1432,0;1211,0;1234,0;1829,0;32,0;6,5;7,9;0,0;0,0
2021-09-30;1689,0;1,0;2057,0;2057,0;1432,0;1370,0;1933,0;33,7;5,4;7,5;0,0;0,0
2021-10-31;1479,0;1,0;1689,0;2057,0;2057,0;1287,0;2148,0;30,2;9,9;8,3;0,0;0,0
2021-11-30;2266,0;1,0;1479,0;1689,0;2057,0;1211,0;1892,0;33,1;12,0;11,1;0,0;0,0
2021-12-31;2589,0;1,0;2266,0;1479,0;1689,0;1432,0;2382,0;35,1;12,6;7,3;0,0;0,0
2022-01-31;1525,0;1,0;2589,0;2266,0;1479,0;2057,0;1918,0;37,0;15,4;8,4;0,0;0,0
2022-02-28;2141,0;1,0;1525,0;2589,0;2266,0;2057,0;1234,0;34,5;11,6;8,3;0,0;0,0
2022-03-31;3444,0;1,0;2141,0;1525,0;2589,0;1689,0;1370,0;32,8;10,1;8,0;1,0;0,0
2022-04-30;2771,0;0,6333333;3444,0;2141,0;1525,0;1479,0;1287,0;30,0;7,7;7,5;0,0;0,0
2022-05-31;3302,0;0,0;2771,0;3444,0;2141,0;2266,0;1211,0;26,3;4,5;6,1;0,0;0,0
2022-06-30;3017,0;0,0;3302,0;2771,0;3444,0;2589,0;1432,0;26,4;-1,0;7,3;0,0;0,0
2022-07-31;2182,0;0,0;3017,0;3302,0;2771,0;1525,0;2057,0;27,3;2,2;9,0;0,0;0,0
2022-08-31;3052,0;0,0;2182,0;3017,0;3302,0;2141,0;2057,0;28,6;1,3;7,7;0,0;0,0
2022-09-30;3000,0;0,0;3052,0;2182,0;3017,0;3444,0;1689,0;29,3;3,8;7,4;0,0;0,0
2022-10-31;2417,0;0,0;3000,0;3052,0;2182,0;2771,0;1479,0;31,1;7,6;10,9;0,0;0,0
2022-11-30;2651,0;0,0;2417,0;3000,0;3052,0;3302,0;2266,0;31,2;5,0;10,1;0,0;0,0
2022-12-31;3351,0;0,0;2651,0;2417,0;3000,0;3017,0;2589,0;32,5;12,7;5,6;0,0;0,0
2023-01-31;1799,0;0,0;3351,0;2651,0;2417,0;2182,0;1525,0;33,3;13,2;6,8;0,0;0,0
2023-02-28;2761,0;0,0;1799,0;3351,0;2651,0;3052,0;2141,0;31,9;10,0;6,8;0,0;0,0
2023-03-31;3736,0;0,0;2761,0;1799,0;3351,0;3000,0;3444,0;32,3;14,0;6,1;1,0;0,0
2023-04-30;3661,0;0,0;3736,0;2761,0;1799,0;2417,0;2771,0;29,9;7,1;8,3;0,0;0,0
2023-05-31;2956,0;0,0;3661,0;3736,0;2761,0;2651,0;3302,0;27,2;6,1;6,0;0,0;0,0
2023-06-30;2438,0;0,0;2956,0;3661,0;3736,0;3351,0;3017,0;25,5;4,4;6,9;0,0;0,0
2023-07-31;1743,0;0,0;2438,0;2956,0;3661,0;1799,0;2182,0;26,4;4,1;8,6;0,0;0,0
2023-08-31;1919,0;0,0;1743,0;2438,0;2956,0;2761,0;3052,0;29,4;5,9;8,2;0,0;0,0
2023-09-30;2243,0;0,0;1919,0;1743,0;2438,0;3736,0;3000,0;34,6;5,1;9,5;0,0;0,0
2023-10-31;2151,0;0,0;2243,0;1919,0;1743,0;3661,0;2417,0;32,6;12,3;9,6;0,0;0,0
2023-11-30;2038,0;0,0;2151,0;2243,0;1919,0;2956,0;2651,0;35,1;12,6;9,0;0,0;0,0
2023-12-31;1565,0;0,0;2038,0;2151,0;2243,0;2438,0;3351,0;34,4;13,2;7,5;0,0;0,0
