;LSTM;RF;SVR;XGB;Single Exponential Smoothing ;Double Exponential Smoothing;Triple Exponential Smoothing Additive;Triple Exponential Smoothing Multiplicative;ARIMA
MAE;466,9166666666667;529,0;752,5;567,8333333333334;771,3656337028701;1158,5778399558114;867,2936432979606;668,6245036969609;774,4859030784208
sMAPE;18,8;21,57;32,68;23,36;30,42;41,59;33,26;26,77;30,47
